ch_changeIdNum,ch_createdTime
85106,"2016-11-16 02:44:56"
85186,"2016-11-17 00:41:41"
84044,"2016-10-27 20:30:48"
85190,"2016-11-17 03:27:30"
85191,"2016-11-17 03:27:30"
85185,"2016-11-17 00:24:55"
85187,"2016-11-17 00:41:57"
84496,"2016-11-04 18:50:04"
85178,"2016-11-16 23:00:20"
83896,"2016-10-25 19:47:42"
85183,"2016-11-17 00:24:15"
85189,"2016-11-17 02:44:18"
84699,"2016-11-08 20:56:11"
84510,"2016-11-04 21:59:51"
85184,"2016-11-17 00:24:15"
84481,"2016-11-04 15:43:23"
77546,"2016-07-19 18:16:11"
84257,"2016-10-31 17:58:37"
82836,"2016-10-10 11:39:33"
85181,"2016-11-16 23:32:45"
82660,"2016-10-06 16:32:51"
81467,"2016-09-20 14:37:22"
84135,"2016-10-28 18:24:20"
85182,"2016-11-17 00:05:23"
85089,"2016-11-15 20:48:20"
84943,"2016-11-13 21:29:28"
85163,"2016-11-16 17:24:02"
85175,"2016-11-16 21:16:10"
85172,"2016-11-16 20:49:45"
57454,"2015-10-05 20:58:17"
49408,"2015-06-03 20:17:08"
70632,"2016-04-14 11:32:06"
83975,"2016-10-26 21:14:02"
84902,"2016-11-11 15:44:48"
66074,"2016-02-07 17:59:43"
85171,"2016-11-16 20:26:53"
44212,"2015-03-19 20:55:19"
85170,"2016-11-16 19:52:14"
84365,"2016-11-02 17:05:21"
85162,"2016-11-16 17:24:02"
85161,"2016-11-16 17:24:02"
75358,"2016-06-15 21:27:50"
84478,"2016-11-04 15:29:50"
85165,"2016-11-16 17:50:02"
85042,"2016-11-15 11:48:08"
85152,"2016-11-16 15:54:12"
85151,"2016-11-16 15:51:00"
85158,"2016-11-16 16:34:31"
84808,"2016-11-10 13:24:20"
77160,"2016-07-12 18:37:38"
85144,"2016-11-16 14:27:16"
85153,"2016-11-16 15:54:44"
79949,"2016-08-29 15:56:13"
85147,"2016-11-16 15:26:37"
85117,"2016-11-16 09:52:13"
85030,"2016-11-15 08:21:03"
76097,"2016-06-28 11:54:47"
84975,"2016-11-14 13:03:27"
85143,"2016-11-16 14:26:42"
85142,"2016-11-16 14:23:28"
85101,"2016-11-16 01:33:55"
84986,"2016-11-14 15:15:37"
85129,"2016-11-16 12:17:26"
85135,"2016-11-16 13:28:11"
85132,"2016-11-16 12:36:29"
84598,"2016-11-07 16:49:56"
85040,"2016-11-15 11:40:27"
85131,"2016-11-16 12:31:23"
85043,"2016-11-15 11:48:11"
85123,"2016-11-16 11:13:53"
85034,"2016-11-15 09:09:12"
83710,"2016-10-21 16:14:23"
85119,"2016-11-16 10:12:33"
85062,"2016-11-15 15:13:15"
85115,"2016-11-16 09:47:24"
85114,"2016-11-16 09:45:45"
84814,"2016-11-10 15:07:46"
84874,"2016-11-11 12:39:37"
82010,"2016-09-27 15:25:04"
84664,"2016-11-08 13:39:20"
83566,"2016-10-20 07:25:55"
77159,"2016-07-12 18:37:38"
77161,"2016-07-12 18:37:38"
83643,"2016-10-20 21:46:10"
85097,"2016-11-15 23:09:36"
84612,"2016-11-07 19:01:00"
84971,"2016-11-14 10:58:41"
85088,"2016-11-15 20:43:03"
84507,"2016-11-04 21:15:14"
85048,"2016-11-15 12:48:31"
